Ride,Date/Time,Wait Time
Pirates of the Caribbean,3/3/2019 14:35,45
Pirates of the Caribbean,3/3/2019 14:40,40
Pirates of the Caribbean,3/3/2019 14:45,40
Pirates of the Caribbean,3/3/2019 14:50,40
Pirates of the Caribbean,3/3/2019 14:55,40
Pirates of the Caribbean,3/3/2019 15:00,40
Pirates of the Caribbean,3/3/2019 15:05,45
Pirates of the Caribbean,3/3/2019 15:10,45
Pirates of the Caribbean,3/3/2019 15:15,45
Pirates of the Caribbean,3/3/2019 15:20,45
Pirates of the Caribbean,3/3/2019 15:25,45
Pirates of the Caribbean,3/3/2019 15:30,30
Pirates of the Caribbean,3/3/2019 15:35,30
Pirates of the Caribbean,3/3/2019 15:40,30
Pirates of the Caribbean,3/3/2019 15:45,30
Pirates of the Caribbean,3/3/2019 15:50,40
Pirates of the Caribbean,3/3/2019 15:55,50
Pirates of the Caribbean,3/3/2019 16:00,50
Pirates of the Caribbean,3/3/2019 16:05,55
Pirates of the Caribbean,3/3/2019 16:10,45
Pirates of the Caribbean,3/3/2019 16:15,45
Pirates of the Caribbean,3/3/2019 16:20,40
Pirates of the Caribbean,3/3/2019 16:25,45
Pirates of the Caribbean,3/3/2019 16:30,40
Pirates of the Caribbean,3/3/2019 16:35,40
Pirates of the Caribbean,3/3/2019 16:40,40
Pirates of the Caribbean,3/3/2019 16:45,30
Pirates of the Caribbean,3/3/2019 16:50,30
Pirates of the Caribbean,3/3/2019 16:55,50
Pirates of the Caribbean,3/3/2019 17:00,50
Pirates of the Caribbean,3/3/2019 17:05,50
Pirates of the Caribbean,3/3/2019 17:10,50
Pirates of the Caribbean,3/3/2019 17:15,50
Pirates of the Caribbean,3/3/2019 17:20,50
Pirates of the Caribbean,3/3/2019 17:25,40
Pirates of the Caribbean,3/3/2019 17:30,35
Pirates of the Caribbean,3/3/2019 17:35,30
Pirates of the Caribbean,3/3/2019 17:40,35
Pirates of the Caribbean,3/3/2019 17:45,35
Pirates of the Caribbean,3/3/2019 17:50,35
Pirates of the Caribbean,3/3/2019 17:55,40
Pirates of the Caribbean,3/3/2019 18:00,50
Pirates of the Caribbean,3/3/2019 18:05,50
Pirates of the Caribbean,3/3/2019 18:10,50
Pirates of the Caribbean,3/3/2019 18:15,40
Pirates of the Caribbean,3/3/2019 18:20,40
Pirates of the Caribbean,3/3/2019 18:25,40
Pirates of the Caribbean,3/3/2019 18:30,40
Pirates of the Caribbean,3/3/2019 18:35,40
Pirates of the Caribbean,3/3/2019 18:40,40
Pirates of the Caribbean,3/3/2019 18:45,40
Pirates of the Caribbean,3/3/2019 18:50,40
Pirates of the Caribbean,3/3/2019 18:55,40
Pirates of the Caribbean,3/3/2019 19:00,40
Pirates of the Caribbean,3/3/2019 19:05,35
Pirates of the Caribbean,3/3/2019 19:10,35
Pirates of the Caribbean,3/3/2019 19:15,25
Pirates of the Caribbean,3/3/2019 19:20,25
Pirates of the Caribbean,3/3/2019 19:25,20
Pirates of the Caribbean,3/3/2019 19:30,20
Pirates of the Caribbean,3/3/2019 19:35,20
Pirates of the Caribbean,3/3/2019 19:40,20
Pirates of the Caribbean,3/3/2019 19:45,20
Pirates of the Caribbean,3/3/2019 19:50,20
Pirates of the Caribbean,3/3/2019 19:55,15
Pirates of the Caribbean,3/3/2019 20:00,15
Pirates of the Caribbean,3/3/2019 20:05,15
Pirates of the Caribbean,3/3/2019 20:10,15
Pirates of the Caribbean,3/3/2019 20:15,15
Pirates of the Caribbean,3/3/2019 20:20,15
Pirates of the Caribbean,3/3/2019 20:25,15
Pirates of the Caribbean,3/3/2019 20:30,15
Pirates of the Caribbean,3/3/2019 20:35,15
Pirates of the Caribbean,3/3/2019 20:40,15
Pirates of the Caribbean,3/3/2019 20:45,20
Pirates of the Caribbean,3/3/2019 20:50,20
Pirates of the Caribbean,3/3/2019 20:55,20
Pirates of the Caribbean,3/3/2019 21:00,15
Pirates of the Caribbean,3/3/2019 21:05,15
Pirates of the Caribbean,3/3/2019 21:10,10
Pirates of the Caribbean,3/3/2019 21:15,10
Pirates of the Caribbean,3/3/2019 21:20,10
Pirates of the Caribbean,3/3/2019 21:25,10
Pirates of the Caribbean,3/3/2019 21:30,10
Pirates of the Caribbean,3/3/2019 21:35,10
Pirates of the Caribbean,3/3/2019 21:40,10
Pirates of the Caribbean,3/3/2019 21:45,10
Pirates of the Caribbean,3/3/2019 21:50,10
Pirates of the Caribbean,3/3/2019 21:55,10
Pirates of the Caribbean,3/3/2019 22:00,10
Pirates of the Caribbean,3/4/2019 9:05,5
Pirates of the Caribbean,3/4/2019 9:10,5
Pirates of the Caribbean,3/4/2019 9:15,5
Pirates of the Caribbean,3/4/2019 9:20,5
Pirates of the Caribbean,3/4/2019 9:25,5
Pirates of the Caribbean,3/4/2019 9:30,10
Pirates of the Caribbean,3/4/2019 9:35,10
Pirates of the Caribbean,3/4/2019 9:40,10
Pirates of the Caribbean,3/4/2019 9:45,20
Pirates of the Caribbean,3/4/2019 9:50,35
Pirates of the Caribbean,3/4/2019 9:55,35
